"<a href=""https://en.wikipedia.org/wiki/Abyssal_plain"" title=""Abyssal plain"">abyssal plain</a>"|"
<dd class=""glossary"">Flat or very gently sloping areas of the deep ocean basin floor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Gemstone"" title=""Gemstone"">gemstone</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called a <b>gem</b>, <b>fine gem</b>, <b>jewel</b>, <b>precious stone</b>, or <b>semi-precious stone</b>.</span></p>
<dd class=""glossary""></dd>
"
"<a href=""https://en.wikipedia.org/wiki/Geologic_map"" title=""Geologic map"">geologic map</a>"|"
<dd class=""glossary"">A special-purpose map made to show geological features.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Geological_time_scale"" class=""mw-redirect"" title=""Geological time scale"">geological time scale</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also <b>geologic time scale</b>.</span></p>
<dd class=""glossary""></dd>
"
"<a href=""https://en.wikipedia.org/wiki/Geology"" title=""Geology"">geology</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Geosyncline"" title=""Geosyncline"">geosyncline</a>"|"
<dd class=""glossary"">A mobile down-warping of the Earth's <a href=""#crust""><span title=""See entry on this page at § crust"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">crust</span></a>, either elongate or basin-like, measured in scores of kilometres, which is subsiding as sedimentary and volcanic rocks accumulate to thicknesses of thousands of metres.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Glass"" title=""Glass"">glass</a>"|"
<dd class=""glossary"">A hard, brittle, transparent solid, such as used for windows, many bottles, or eyewear, including soda-lime glass, acrylic glass, sugar glass, isinglass (Muscovy-glass), or aluminium oxynitride.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Glauconite"" title=""Glauconite"">glauconite</a>"|"
<dd class=""glossary"">A green-coloured, hydrated <a href=""#silicate""><span title=""See entry on this page at § silicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">silicate</span></a> mineral of <a href=""https://en.wikipedia.org/wiki/Potassium"" title=""Potassium"">potassium</a> and <a href=""https://en.wikipedia.org/wiki/Iron"" title=""Iron"">iron</a> that forms on submerged banks. Its occurrence in sands and sandstones is considered an indication of accumulation under marine conditions.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Gneiss"" title=""Gneiss"">gneiss</a>"|"
<dd class=""glossary"">A coarse-grained, pale-coloured gneissose rock, containing abundant <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a> with <a href=""#quartz""><span title=""See entry on this page at § quartz"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">quartz</span></a>, <a href=""#mica""><span title=""See entry on this page at § mica"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mica</span></a>, <a href=""#hornblende""><span title=""See entry on this page at § hornblende"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hornblende</span></a>, and <a href=""#garnet""><span title=""See entry on this page at § garnet"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">garnet</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Gondwanaland"" class=""mw-redirect"" title=""Gondwanaland"">Gondwanaland</a>"|"
<dd class=""glossary"">The southern part of the supercontinent of <a href=""https://en.wikipedia.org/wiki/Pangaea"" title=""Pangaea"">Pangaea</a> which eventually separated to form present-day South America, Africa, India, Australia and Antarctica.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Graben"" title=""Graben"">graben</a>"|"
<dd class=""glossary"">A depressed block of the Earth's crust bordered by parallel <a href=""#fault""><span title=""See entry on this page at § fault"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">faults</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Granite"" title=""Granite"">granite</a>"|"
<dd class=""glossary"">A coarse-grained, often porphyritic, intrusive, <a href=""#felsic""><span title=""See entry on this page at § felsic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">felsic</span></a>, <a href=""#igneous_rock""><span title=""See entry on this page at § igneous rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous rock</span></a> containing megascopic <a href=""#quartz""><span title=""See entry on this page at § quartz"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">quartz</span></a>, averaging 25%, much <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a> (orthoclase, microcline, sodic plagioclase) and <a href=""#mica""><span title=""See entry on this page at § mica"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mica</span></a> or other coloured minerals. <a href=""#rhyolite""><span title=""See entry on this page at § rhyolite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Rhyolite</span></a> is the volcanic equivalent.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Granitoid"" title=""Granitoid"">granitoid</a>"|"
<dd class=""glossary"">Any <a href=""#granite""><span title=""See entry on this page at § granite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">granite</span></a>-like rock, including <a href=""#granodiorite""><span title=""See entry on this page at § granodiorite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">granodiorite</span></a>, <a href=""#diorite""><span title=""See entry on this page at § diorite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">diorite</span></a>, <a href=""https://en.wikipedia.org/wiki/Monzonite"" title=""Monzonite"">monzonite</a>, and granite itself, among others.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Granoblastic"" title=""Granoblastic"">granoblastic</a>"|"
<dd class=""glossary"">An arrangement of mineral grains in a rock of metamorphic origin similar to that of a normal granite, but produced by recrystallisation in the solid and not by crystallisation from a molten condition.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Granodiorite"" title=""Granodiorite"">granodiorite</a>"|"
<dd class=""glossary"">An intrusive, felsic, igneous rock similar to <a href=""#granite""><span title=""See entry on this page at § granite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">granite</span></a> but containing more <a href=""#plagioclase""><span title=""See entry on this page at § plagioclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plagioclase</span></a> than potassium <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a>. <a href=""#dacite""><span title=""See entry on this page at § dacite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Dacite</span></a> is the volcanic equivalent.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Gravel"" title=""Gravel"">gravel</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Graywacke"" class=""mw-redirect"" title=""Graywacke"">graywacke</a>"|"
<dd class=""glossary"">A variety of <a href=""#sandstone""><span title=""See entry on this page at § sandstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sandstone</span></a> generally characterized by its hardness, dark colour, and poorly sorted, angular grains of <a href=""#quartz""><span title=""See entry on this page at § quartz"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">quartz</span></a>, <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a>, and small rock fragments (<a href=""https://en.wikipedia.org/wiki/Lithic_fragment_(geology)"" title=""Lithic fragment (geology)"">lithic fragments</a>) set in a compact, clay-fine matrix. Also spelled <b>greywacke</b>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Greenstone_belt"" title=""Greenstone belt"">greenstone</a>"|"
<dd class=""glossary"">An omnibus term lacking precision and applied indiscriminately to basic and intermediate igneous rocks of Lower <a href=""#paleozoic_Era""><span title=""See entry on this page at § Paleozoic Era"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Paleozoic</span></a> age in which much <a href=""#chlorite""><span title=""See entry on this page at § chlorite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">chlorite</span></a> has been produced at the expense of the original coloured minerals, staining the rocks green.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Grus_(geology)"" title=""Grus (geology)"">grus</a>"|"
<dd class=""glossary"">Freshly eroded, angular grains of <a href=""#quartz""><span title=""See entry on this page at § quartz"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">quartz</span></a> and <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a> derived from a <a href=""#granitoid""><span title=""See entry on this page at § granitoid"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">granitoid</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Crystal_habit"" title=""Crystal habit"">habit</a>"|"
<dd class=""glossary"">See <i><a href=""#crystal_habit""><span title=""See entry on this page at § crystal habit"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">crystal habit</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Half-life"" title=""Half-life"">half-life</a>"|"
<dd class=""glossary"">The time it takes for a given amount of a radioactive isotope to be reduced by one-half.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Hardpan"" title=""Hardpan"">hardpan</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"hemicrystalline"|"
<dd class=""glossary"">Having the properties of certain rocks of igneous origin which contain some interstitial <a href=""#glass""><span title=""See entry on this page at § glass"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">glass</span></a> in addition to crystalline minerals. Contrast <i><a href=""#holocrystalline""><span title=""See entry on this page at § holocrystalline"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">holocrystalline</span></a></i>.</dd>
"
